file,provider,tic_score,scoutPrime_Ref_ID,classification,sources
./ToProcess/FW Logs Irvine.csv,193.27.229.219,['CINSscore'],94,3239831003,['Malicious', 'Malicious Host'],['Probing Bogons', 'Top 100 Attackers', 'Scanner Generic', 'CI Army', 'Honeypot', 'Daily Sources'],
./ToProcess/FW Logs Irvine.csv,45.135.232.24,['LookingGlass Reputation'],71,763881496,['Probes'],['Probing Bogons', 'CI Army', 'Honeypot', 'Daily Sources'],
./ToProcess/FW Logs Irvine.csv,185.236.11.7,['IidDailyBadipStandard'],98,3119254279,['Malicious', 'Malicious Host'],['Probing Bogons', 'Top 100 Attackers', 'Scanner Generic', 'CI Army', 'Honeypot', 'Daily Sources', 'Top 5000 Attackers'],
./ToProcess/FW Logs Irvine.csv,185.236.11.6,['IidAllBadipStandard'],98,3119254278,['Malicious', 'Malicious Host'],['Probing Bogons', 'Top 100 Attackers', 'Scanner Generic', 'CI Army', 'Honeypot', 'Daily Sources'],
./ToProcess/FW Logs Irvine.csv,194.147.140.62,['CINSscore'],98,3264449598,['Malicious', 'Malicious Host'],['Probing Bogons', 'Top 100 Attackers', 'Scanner Generic', 'CI Army', 'Honeypot', 'Daily Sources'],
./ToProcess/FW Logs Irvine.csv,194.147.140.91,['LookingGlass Reputation'],91,3264449627,['Probes'],['Probing Bogons', 'Scanner Generic', 'CI Army', 'Honeypot', 'Daily Sources'],
./ToProcess/FW Logs Irvine.csv,45.155.205.58,['IidDailyBadipStandard'],96,765185338,['Malicious', 'Malicious Host'],['Probing Bogons', 'Top 100 Attackers', 'Scanner Generic', 'CI Army', 'Honeypot', 'Daily Sources'],
./ToProcess/FW Logs Irvine.csv,185.236.11.150,['IidAllBadipStandard'],88,3119254422,['Malicious', 'Malicious Host'],['Probing Bogons', 'Top 100 Attackers', 'Scanner Generic', 'CI Army', 'Honeypot', 'Daily Sources'],
./ToProcess/FW Logs Irvine.csv,193.27.229.224,['LookingGlass Reputation'],95,3239831008,['Probes'],['Probing Bogons', 'Top 100 Attackers', 'Scanner Generic', 'CI Army', 'Honeypot', 'Daily Sources'],
./ToProcess/FW Logs Irvine.csv,194.147.140.63,['LookingGlass Reputation'],97,3264449599,['Probes'],['Probing Bogons', 'Top 100 Attackers', 'Scanner Generic', 'CI Army', 'Honeypot', 'Daily Sources'],
./ToProcess/FW Logs Irvine.csv,194.147.140.29,['CINSscore'],98,3264449565,['Malicious', 'Malicious Host'],['Probing Bogons', 'Top 100 Attackers', 'Scanner Generic', 'CI Army', 'Honeypot', 'Daily Sources'],
./ToProcess/FW Logs Irvine.csv,52.113.195.132,['DshieldDailySources'],22,879870852,['Malicious'],['Daily Sources'],
./ToProcess/FW Logs Irvine.csv,45.135.232.23,['LookingGlass Reputation'],63,763881495,['Probes'],['Probing Bogons', 'CI Army', 'Daily Sources'],
./ToProcess/FW Logs Irvine.csv,45.135.232.22,['LookingGlass Reputation'],71,763881494,['Probes'],['Probing Bogons', 'CI Army', 'Honeypot', 'Daily Sources'],
./ToProcess/FW Logs Irvine.csv,194.147.140.61,['DshieldTop100IpReport'],98,3264449597,['Actor', 'Malicious'],['Probing Bogons', 'Top 100 Attackers', 'Scanner Generic', 'CI Army', 'Honeypot', 'Daily Sources'],
./ToProcess/FW Logs Irvine.csv,52.114.128.204,['DshieldDailySources'],17,879919308,['Malicious'],['Daily Sources'],
