./ToProcess/FW Logs Nola.csv,indicator,type,tlp,provider,confidence,count,report_time
./ToProcess/FW Logs Nola.csv,204.79.197.203,ipv4,amber,dataplane.org,3,1,2021-01-10 15:52:45
./ToProcess/FW Logs Nola.csv,210.14.69.76,ipv4,green,lafusioncenter:cowrie,4,293,2021-02-07 20:39:02
./ToProcess/FW Logs Nola.csv,172.217.1.130,ipv4,amber,umbrella.cisco.com,0,2,2020-05-15 14:46:01
./ToProcess/FW Logs Nola.csv,141.98.81.154,ipv4,green,lafusioncenter:cowrie,4,14,2021-03-09 15:01:06
./ToProcess/FW Logs Nola.csv,172.217.6.142,ipv4,green,lafusioncenter:fatt,4,4,2021-02-08 20:46:59
./ToProcess/FW Logs Nola.csv,172.217.9.130,ipv4,amber,umbrella.cisco.com,0,3,2020-05-17 18:44:11
./ToProcess/FW Logs Nola.csv,151.101.192.134,ipv4,green,lafusioncenter:fatt,4,28,2021-02-08 20:47:02
./ToProcess/FW Logs Nola.csv,193.105.134.45,ipv4,green,lafusioncenter:honeytrap,4,1,2021-03-09 13:01:06
./ToProcess/FW Logs Nola.csv,4.2.2.2,ipv4,amber,public-dns.info,4,1,2021-03-08 18:42:53
./ToProcess/FW Logs Nola.csv,195.3.147.47,ipv4,green,lafusioncenter:honeytrap,4,1,2021-03-09 14:01:03
./ToProcess/FW Logs Nola.csv,141.98.80.98,ipv4,green,lafusioncenter:cowrie,4,17,2021-03-09 15:01:07
